dataset_version,label,family,split,source,file_title,source_url,image_url,original_url,sha1,mime,width,height,license,license_url,artist,credit,query,review_status
wikimedia-pilot-v0.1,analog_mechanical,mechanical_typewriter,train,Wikimedia Commons,File:Chinese typewriter 03.jpg,https://commons.wikimedia.org/wiki/File:Chinese_typewriter_03.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Chinese_typewriter_03.jpg/960px-Chinese_typewriter_03.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Chinese_typewriter_03.jpg,ea088cdaaae356df1b35992ab8561966d858dcc9,image/jpeg,4160,3120,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,MatejK42,Own work,mechanical typewriter,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,mechanical_typewriter,train,Wikimedia Commons,"File:Consul mechanical typewriter in Třebíč, Třebíč District.jpg","https://commons.wikimedia.org/wiki/File:Consul_mechanical_typewriter_in_T%C5%99eb%C3%AD%C4%8D,_T%C5%99eb%C3%AD%C4%8D_District.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Consul_mechanical_typewriter_in_T%C5%99eb%C3%AD%C4%8D%2C_T%C5%99eb%C3%AD%C4%8D_District.jpg/960px-Consul_mechanical_typewriter_in_T%C5%99eb%C3%AD%C4%8D%2C_T%C5%99eb%C3%AD%C4%8D_District.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Consul_mechanical_typewriter_in_T%C5%99eb%C3%AD%C4%8D%2C_T%C5%99eb%C3%AD%C4%8D_District.jpg,ef951b9700bccf8125d66368a84d28cde9b787c4,image/jpeg,3888,2592,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Jiří Sedláček (Frettie),Own work,mechanical typewriter,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,mechanical_typewriter,train,Wikimedia Commons,"File:Consul typewriter in Třebíč, Třebíč District.jpg","https://commons.wikimedia.org/wiki/File:Consul_typewriter_in_T%C5%99eb%C3%AD%C4%8D,_T%C5%99eb%C3%AD%C4%8D_District.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Consul_typewriter_in_T%C5%99eb%C3%AD%C4%8D%2C_T%C5%99eb%C3%AD%C4%8D_District.jpg/960px-Consul_typewriter_in_T%C5%99eb%C3%AD%C4%8D%2C_T%C5%99eb%C3%AD%C4%8D_District.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f8/Consul_typewriter_in_T%C5%99eb%C3%AD%C4%8D%2C_T%C5%99eb%C3%AD%C4%8D_District.jpg,539e51fdf6a86b4c893f5b281512006326aafb0a,image/jpeg,3888,2592,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Frettie,Own work,mechanical typewriter,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,mechanical_typewriter,train,Wikimedia Commons,File:Continental typewriter 01.jpg,https://commons.wikimedia.org/wiki/File:Continental_typewriter_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Continental_typewriter_01.jpg/960px-Continental_typewriter_01.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f5/Continental_typewriter_01.jpg,8fbf5986005593c0ad3d6bda5d06643b0e2ef6f5,image/jpeg,3574,2432,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Agaath,Own work,mechanical typewriter,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,mechanical_typewriter,train,Wikimedia Commons,File:Cyrillic typewriter. Tashkent. Yangiobod bazar 01.jpg,https://commons.wikimedia.org/wiki/File:Cyrillic_typewriter._Tashkent._Yangiobod_bazar_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Cyrillic_typewriter._Tashkent._Yangiobod_bazar_01.jpg/960px-Cyrillic_typewriter._Tashkent._Yangiobod_bazar_01.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Cyrillic_typewriter._Tashkent._Yangiobod_bazar_01.jpg,a1c9c62a84e16796ea2661536474d388f686e692,image/jpeg,5712,4284,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Jamshid Nurkulov,Own work,mechanical typewriter,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,mechanical_typewriter,train,Wikimedia Commons,File:Cyrillic typewriter. Tashkent. Yangiobod bazar 02.jpg,https://commons.wikimedia.org/wiki/File:Cyrillic_typewriter._Tashkent._Yangiobod_bazar_02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Cyrillic_typewriter._Tashkent._Yangiobod_bazar_02.jpg/960px-Cyrillic_typewriter._Tashkent._Yangiobod_bazar_02.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/Cyrillic_typewriter._Tashkent._Yangiobod_bazar_02.jpg,2a6d82e2f96b8bcd460e1c0c115cb5c8a19ea84d,image/jpeg,5712,4284,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Jamshid Nurkulov,Own work,mechanical typewriter,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,gramophone,train,Wikimedia Commons,File:1920s street gramophone player.jpg,https://commons.wikimedia.org/wiki/File:1920s_street_gramophone_player.jpg,https://upload.wikimedia.org/wikipedia/commons/0/01/1920s_street_gramophone_player.jpg,https://upload.wikimedia.org/wikipedia/commons/0/01/1920s_street_gramophone_player.jpg,082bd5d41719acc63a30dc48ffe863f6d8bdadd0,image/jpeg,602,640,Public domain,,Unknown photographer,[1] / [2],gramophone phonograph,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,gramophone,train,Wikimedia Commons,File:A young woman plays a gramophone in an air raid shelter in north London during 1940. D1631.jpg,https://commons.wikimedia.org/wiki/File:A_young_woman_plays_a_gramophone_in_an_air_raid_shelter_in_north_London_during_1940._D1631.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/A_young_woman_plays_a_gramophone_in_an_air_raid_shelter_in_north_London_during_1940._D1631.jpg/960px-A_young_woman_plays_a_gramophone_in_an_air_raid_shelter_in_north_London_during_1940._D1631.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0c/A_young_woman_plays_a_gramophone_in_an_air_raid_shelter_in_north_London_during_1940._D1631.jpg,8dde69db3dab478e49ce76aee29680bd5073f3f7,image/jpeg,1640,2480,Public domain,,Ministry of Information Photo Division Photographer,http://media.iwm.org.uk/iwm/mediaLib//38/media-38874/large.jpg This photograph D 1631 comes from the collections of the Imperial War Museums .,gramophone phonograph,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,gramophone,train,Wikimedia Commons,"File:Academy Gramophone, top open.jpg","https://commons.wikimedia.org/wiki/File:Academy_Gramophone,_top_open.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Academy_Gramophone%2C_top_open.jpg/960px-Academy_Gramophone%2C_top_open.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Academy_Gramophone%2C_top_open.jpg,dcc38c4f72030f17ed3645f2e2ddf078dd9dd7d4,image/jpeg,3846,5129,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Infrogmation of New Orleans,Own work,gramophone phonograph,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,gramophone,train,Wikimedia Commons,"File:An old gramophone at Dilli Haat, New Delhi.jpg","https://commons.wikimedia.org/wiki/File:An_old_gramophone_at_Dilli_Haat,_New_Delhi.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/An_old_gramophone_at_Dilli_Haat%2C_New_Delhi.jpg/960px-An_old_gramophone_at_Dilli_Haat%2C_New_Delhi.jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/An_old_gramophone_at_Dilli_Haat%2C_New_Delhi.jpg,d2886458344e1df6311e6247deb8a4aabff656c7,image/jpeg,6000,4000,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Slyronit,Own work,gramophone phonograph,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,gramophone,train,Wikimedia Commons,File:Antique HMV gramophone- phonograph- record player.jpg,https://commons.wikimedia.org/wiki/File:Antique_HMV_gramophone-_phonograph-_record_player.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Antique_HMV_gramophone-_phonograph-_record_player.jpg/960px-Antique_HMV_gramophone-_phonograph-_record_player.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/Antique_HMV_gramophone-_phonograph-_record_player.jpg,b2e3bac18d095b0ee503f60faec85c14526a3cb2,image/jpeg,2724,3857,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Amitbalani,Own work,gramophone phonograph,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,gramophone,train,Wikimedia Commons,"File:Antique phonographs exhibit, New Orleans October 2016 - 02.jpg","https://commons.wikimedia.org/wiki/File:Antique_phonographs_exhibit,_New_Orleans_October_2016_-_02.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Antique_phonographs_exhibit%2C_New_Orleans_October_2016_-_02.jpg/960px-Antique_phonographs_exhibit%2C_New_Orleans_October_2016_-_02.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Antique_phonographs_exhibit%2C_New_Orleans_October_2016_-_02.jpg,db423dba35eaf5fbb6da11b60a0a6f09f28c9266,image/jpeg,3888,5184,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Infrogmation,Own work,gramophone phonograph,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,gramophone,train,Wikimedia Commons,"File:Antique phonographs exhibit, New Orleans October 2016 - 07.jpg","https://commons.wikimedia.org/wiki/File:Antique_phonographs_exhibit,_New_Orleans_October_2016_-_07.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Antique_phonographs_exhibit%2C_New_Orleans_October_2016_-_07.jpg/960px-Antique_phonographs_exhibit%2C_New_Orleans_October_2016_-_07.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d2/Antique_phonographs_exhibit%2C_New_Orleans_October_2016_-_07.jpg,45599676d98df3901e309486c402cebc8d8c2f5b,image/jpeg,5184,3888,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Infrogmation,Own work,gramophone phonograph,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,gramophone,train,Wikimedia Commons,File:Berliner Record Player in the Phono Museum.jpg,https://commons.wikimedia.org/wiki/File:Berliner_Record_Player_in_the_Phono_Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Berliner_Record_Player_in_the_Phono_Museum.jpg/960px-Berliner_Record_Player_in_the_Phono_Museum.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b2/Berliner_Record_Player_in_the_Phono_Museum.jpg,c6619b0ebab5f550ca4e2baeb4d3d9cfada44fdc,image/jpeg,4864,3648,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,DiscoA340,Own work,gramophone phonograph,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,film_camera,train,Wikimedia Commons,File:2015 04 08 014 35mm camera Fuji Fujica Compact S.jpg,https://commons.wikimedia.org/wiki/File:2015_04_08_014_35mm_camera_Fuji_Fujica_Compact_S.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/2015_04_08_014_35mm_camera_Fuji_Fujica_Compact_S.jpg/960px-2015_04_08_014_35mm_camera_Fuji_Fujica_Compact_S.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/2015_04_08_014_35mm_camera_Fuji_Fujica_Compact_S.jpg,c2909fc9dcbba2f50f9be6e47a9487bcf1147a0e,image/jpeg,3074,2004,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Friedrich Haag,Self-photographed,35mm film camera,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,film_camera,train,Wikimedia Commons,File:35mm film camera.jpg,https://commons.wikimedia.org/wiki/File:35mm_film_camera.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/35mm_film_camera.jpg/960px-35mm_film_camera.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3a/35mm_film_camera.jpg,5a3988f8d09078849c374d95b7fbd4b82a177507,image/jpeg,2828,2121,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Uberprutser,Own work,35mm film camera,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,film_camera,train,Wikimedia Commons,File:35mm Film Label.jpg,https://commons.wikimedia.org/wiki/File:35mm_Film_Label.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/35mm_Film_Label.jpg/960px-35mm_Film_Label.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/35mm_Film_Label.jpg,80ed6d914274b5ff2c8b20df9634ae02c67f709a,image/jpeg,3024,4032,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Moomooj,Own work,35mm film camera,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,film_camera,train,Wikimedia Commons,File:An assortment of 35mm photographic film.jpg,https://commons.wikimedia.org/wiki/File:An_assortment_of_35mm_photographic_film.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/An_assortment_of_35mm_photographic_film.jpg/960px-An_assortment_of_35mm_photographic_film.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f8/An_assortment_of_35mm_photographic_film.jpg,6334d86ce77ad008a5c2800a69bac388683e5d98,image/jpeg,2310,1707,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Sgroey,Own work,35mm film camera,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,film_camera,train,Wikimedia Commons,File:Argus C3 and Extra Viewfinder.jpg,https://commons.wikimedia.org/wiki/File:Argus_C3_and_Extra_Viewfinder.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Argus_C3_and_Extra_Viewfinder.jpg/960px-Argus_C3_and_Extra_Viewfinder.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Argus_C3_and_Extra_Viewfinder.jpg,1accd89bd56855459b27228189b40c0cef4ea734,image/jpeg,3024,4032,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,책읽는달팽,Own work,35mm film camera,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,film_camera,train,Wikimedia Commons,File:Argus C3.jpg,https://commons.wikimedia.org/wiki/File:Argus_C3.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Argus_C3.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Argus_C3.jpg,0fe03d81b55c9e55ae696927fd58dfacbc5e6695,image/jpeg,800,600,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,User Camerafiend on en.wikipedia,Photo by camerafiend .,35mm film camera,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,film_camera,train,Wikimedia Commons,File:Bell and Howell 35mm wind up film camera. 1940's..jpg,https://commons.wikimedia.org/wiki/File:Bell_and_Howell_35mm_wind_up_film_camera._1940%27s..jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Bell_and_Howell_35mm_wind_up_film_camera._1940%27s..jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Bell_and_Howell_35mm_wind_up_film_camera._1940%27s..jpg,f9b0cf1dee74078b0914fdc51c1ce3b8b84d8b07,image/jpeg,683,1024,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,YellowFratello,Own work,35mm film camera,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,film_camera,train,Wikimedia Commons,File:Calypso 5r.jpg,https://commons.wikimedia.org/wiki/File:Calypso_5r.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ea/Calypso_5r.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ea/Calypso_5r.jpg,541260c7f804e516139b20116b97a4e726d8bb1a,image/jpeg,768,576,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,La glutte,Own work,35mm film camera,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,manual_sewing_machine,validation,Wikimedia Commons,File:A Vesta Fiddlebase from the Warren Collection of Antique Sewing Machines.jpg,https://commons.wikimedia.org/wiki/File:A_Vesta_Fiddlebase_from_the_Warren_Collection_of_Antique_Sewing_Machines.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/A_Vesta_Fiddlebase_from_the_Warren_Collection_of_Antique_Sewing_Machines.jpg/960px-A_Vesta_Fiddlebase_from_the_Warren_Collection_of_Antique_Sewing_Machines.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/A_Vesta_Fiddlebase_from_the_Warren_Collection_of_Antique_Sewing_Machines.jpg,1cc7e45685741bc189374a7d23b31d0753292f95,image/jpeg,2945,1820,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Panjigally,Own work,antique sewing machine,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,manual_sewing_machine,validation,Wikimedia Commons,File:Algarve - Silves - sewing machines display (25708274852).jpg,https://commons.wikimedia.org/wiki/File:Algarve_-_Silves_-_sewing_machines_display_(25708274852).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Algarve_-_Silves_-_sewing_machines_display_%2825708274852%29.jpg/960px-Algarve_-_Silves_-_sewing_machines_display_%2825708274852%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/Algarve_-_Silves_-_sewing_machines_display_%2825708274852%29.jpg,430d5857b6830d209bc4597a20290224e2279d93,image/jpeg,3648,2736,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"muffinn from Worcester, UK",Algarve - Silves - sewing machines display,antique sewing machine,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,manual_sewing_machine,validation,Wikimedia Commons,File:Antique Asian sewing machine (27859070563).jpg,https://commons.wikimedia.org/wiki/File:Antique_Asian_sewing_machine_(27859070563).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Antique_Asian_sewing_machine_%2827859070563%29.jpg/960px-Antique_Asian_sewing_machine_%2827859070563%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/Antique_Asian_sewing_machine_%2827859070563%29.jpg,dac9dbb02db29a4bf8d4464f9bb68c8720feca21,image/jpeg,3648,5472,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Thomas Quine,Antique Asian sewing machine,antique sewing machine,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,manual_sewing_machine,validation,Wikimedia Commons,File:Antique electrical sewing machine (28605356195).jpg,https://commons.wikimedia.org/wiki/File:Antique_electrical_sewing_machine_(28605356195).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Antique_electrical_sewing_machine_%2828605356195%29.jpg/960px-Antique_electrical_sewing_machine_%2828605356195%29.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Antique_electrical_sewing_machine_%2828605356195%29.jpg,a86b0d12ac64c966bd7c30b80ab6df238294db2a,image/jpeg,5472,3648,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Thomas Quine,Antique electrical sewing machine,antique sewing machine,weak-label-needs-review
wikimedia-pilot-v0.1,analog_mechanical,manual_sewing_machine,validation,Wikimedia Commons,File:Antique Husqvarna sewing machine (44201160084).jpg,https://commons.wikimedia.org/wiki/File:Antique_Husqvarna_sewing_machine_(44201160084).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Antique_Husqvarna_sewing_machine_%2844201160084%29.jpg/960px-Antique_Husqvarna_sewing_machine_%2844201160084%29.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/Antique_Husqvarna_sewing_machine_%2844201160084%29.jpg,3e08fbb843fca0f7c02d6b0d2da6cf473c57e6b9,image/jpeg,5472,3648,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Thomas Quine,Antique Husqvarna sewing machine,antique sewing machine,weak-label-needs-review
